property,violation_count
P117,875
P141,1
P163,23
P194,45
P201,135
P209,17
P223,3620
P233,198
P241,10205
P36,1133
P53,2138
P59,245
P65,3317
P78,32
P85,82
P10176,0
P10232,0
P1028,97
P1033,0
P10339,2
P10374,3
P1044,2
P10581,0
P10604,0
P10627,1
P10640,5
P10648,7
P10681,0
P1069,0
P10718,1
P10726,1
P10731,0
P10732,1
P10733,0
P10734,0
P10735,0
P10736,0
P10737,0
P10738,0
P10739,0
P10740,0
P10743,0
P10744,0
P10745,1
P10746,0
P10747,0
P1079,0
P1082,215336
P10823,5
P1083,968
P1084,2
P10892,0
P1092,200
P11034,0
P1128,9200
P11293,107
P11372,0
P11385,0
P11387,0
P1143,88
P1145,0
P1149,314
P1150,153
P1151,1
P11590,0
P1161,0
P1162,3
P11626,2
P11627,0
P11645,0
P1172,1
P1174,22796
P1183,9
P1189,2
P1196,713
P11962,1
P11964,1
P1199,1
P1200,0
P1201,1
P12030,1
P1204,116
P12044,0
P12050,0
P12081,0
P12095,0
P12099,0
P12110,4
P1213,52
P12221,1
P12355,7
P12369,1
P12411,0
P12413,0
P12441,0
P12443,1
P12446,0
P12456,1
P12468,3
P12470,0
P12471,0
P1249,99
P12503,0
P12505,0
P12549,0
P1256,107
P12563,0
P12565,2
P1259,0
P12617,0
P12692,0
P12700,0
P1283,250
P12849,0
P12981,3
P1304,2
P13215,0
P1332,8
P1333,7
P1334,8
P1335,7
P1346,49265
P13464,0
P13484,0
P13493,5
P13504,0
P13572,1
P13573,0
P13612,36
P13616,1
P1403,4
P1424,1527
P1427,712
P1434,101
P1454,3319
P1455,100
P1464,31
P1465,0
P1472,26
P1539,824
P1540,928
P1546,10
P1549,10437
P1571,4
P1575,1
P1589,8
P1612,0
P1632,0
P1636,17
P1639,12
P1654,54
P1690,3
P1693,10
P1694,16
P1696,1
P1705,51545
P1740,0
P1752,9
P1753,132
P1760,37
P1762,10
P1791,2
P1792,65
P1793,7
P1811,13
P1830,7142
P1851,0
P1881,67
P1897,0
P1898,1
P1921,2
P1922,640
P1973,12
P1999,49
P2009,116
P2033,2
P2098,8
P2106,0
P2114,135
P2127,0
P2133,9
P2135,2
P2136,1
P2139,17592
P2209,7
P2211,0
P2220,0
P2225,79
P2226,42
P2250,142
P2272,139
P2295,134
P2320,0
P2363,2
P2370,24
P2374,0
P2393,1
P2394,0
P2396,3
P2411,1
P2421,0
P2425,183
P2460,0
P2462,0
P2487,0
P2490,0
P2517,28
P2537,24
P2597,0
P2629,66
P2633,1
P2666,3
P2667,46
P2681,2
P2682,2
P274,170
P2744,0
P2754,1376
P2756,96
P2761,0
P2786,0
P2820,0
P2831,2
P2832,2
P2873,0
P2875,1
P2898,0
P2913,179
P2986,7
P3037,0
P3069,2
P3096,1
P3132,49
P3156,55
P3195,0
P3264,1
P3290,0
P3467,1
P3518,15
P353,1
P3592,0
P3648,15
P373,3135
P3732,4
P375,54
P376,0
P3764,12
P3822,320
P3825,5
P3837,0
P3871,0
P3872,3292
P3876,14
P3934,13
P3984,833
P4010,0
P4020,0
P4111,0
P418,1
P4195,7
P4202,0
P432,13
P4435,0
P4509,1
P4589,48
P461,803
P4661,21
P470,12
P4743,30
P4843,0
P4884,35
P489,2
P4951,0
P4973,0
P503,6
P5049,0
P5053,11
P5123,39
P5125,0
P5143,11
P5148,0
P5205,1302
P5277,25
P5280,201
P5285,0
P5427,0
P5428,0
P5444,0
P555,1
P556,11
P5565,0
P557,72
P561,31
P562,273
P563,95
P564,1
P566,2
P5686,0
P5688,0
P5755,2
P5814,4
P585,4440
P5894,11
P5962,1
P5965,3
P5996,1
P6081,98
P619,1
P6204,1
P621,0
P6210,0
P6216,2734
P6219,5
P6229,0
P6243,0
P6370,0
P6385,61
P6449,1
P6482,0
P6484,0
P6507,1235
P653,0
P6650,0
P6657,0
P6658,4
P6765,18
P6857,3
P6889,20
P690,56
P6916,8
P6931,35
P6938,0
P6939,2
P694,26
P6954,6
P6997,0
P7009,0
P7073,0
P7074,0
P708,426
P7087,0
P7094,6
P712,0
P713,0
P714,1
P7144,0
P7161,0
P7163,77
P729,360
P730,118
P7336,3
P7377,10
P7497,0
P7559,0
P7561,19
P7574,62
P7582,14
P7600,0
P7601,0
P7607,81
P7704,40
P7749,141
P7789,1
P779,128
P7949,6
P7957,0
P813,1
P8225,28
P8247,2
P8248,11
P8346,0
P835,46
P8378,0
P8416,0
P8443,73
P8464,3
P8480,1
P849,0
P852,55
P853,15
P8558,0
P8596,16
P8597,39
P862,0
P8620,0
P8621,0
P8622,0
P8625,0
P8628,5
P8654,0
P8713,12
P8744,2
P8751,0
P8757,12
P8778,1
P8832,0
P8865,15
P8874,5
P8889,6
P8901,2
P8933,39
P8939,3
P8963,0
P8989,124
P9028,0
P9052,0
P908,50
P914,56
P916,1
P9241,0
P9311,1
P9313,0
P9317,0
P9323,0
P935,15
P9373,0
P9453,0
P952,20
P9521,1
P9574,0
P9602,28
P9604,0
P9667,0
P9687,0
P9688,0
P9790,0
P9798,0
P9863,1
P9888,0
P9905,0
P993,0
P994,0
P995,0
P9974,0
P9997,0
P9998,0
P1025,3134
P10680,0
P10859,0
P1088,8
P1245,11
P1545,232
P5180,2
P552,41
P5568,105
P5817,192
P6259,11
P663,0
P7338,0
P7576,71
P877,0
